Parzelle_ID,Parzelle,Wiederholung,Pruefglied_ID,Hoehenlage_Min,Hoehenlage_Max,Mittelpunkt_x_GK,Mittelpunkt_y_GK,Beginn,Ende
1,1,1,15,469.37,469.43,4477223.878,5362876.753,1978-04-10T00:00:00,andauernd
2,2,1,15,469.44,469.52,4477223.21,5362880.723,1978-04-10T00:00:00,andauernd
3,3,2,1,469.47,469.64,4477222.539,5362884.698,1978-04-10T00:00:00,andauernd
4,4,2,8,469.64,469.86,4477221.863,5362888.676,1978-04-10T00:00:00,andauernd
5,5,3,2,469.82,469.98,4477221.183,5362892.666,1978-04-10T00:00:00,andauernd
6,6,3,9,470,470.19,4477220.505,5362896.656,1978-04-10T00:00:00,andauernd
7,7,4,3,470.2,470.48,4477219.846,5362900.613,1978-04-10T00:00:00,andauernd
8,8,4,10,470.43,470.65,4477219.16,5362904.623,1978-04-10T00:00:00,andauernd
9,9,1,4,469.37,469.58,4477215.976,5362875.403,1978-04-10T00:00:00,andauernd
10,10,1,11,469.44,469.7,4477215.305,5362879.388,1978-04-10T00:00:00,andauernd
11,11,2,5,469.58,469.79,4477214.638,5362883.371,1978-04-10T00:00:00,andauernd
12,12,2,12,469.63,470,4477213.961,5362887.357,1978-04-10T00:00:00,andauernd
13,13,3,6,469.94,470.15,4477213.284,5362891.333,1978-04-10T00:00:00,andauernd
14,14,3,13,470.04,470.38,4477212.627,5362895.322,1978-04-10T00:00:00,andauernd
15,15,4,7,470.25,470.58,4477211.968,5362899.278,1978-04-10T00:00:00,andauernd
16,16,4,14,470.55,470.83,4477211.282,5362903.288,1978-04-10T00:00:00,andauernd
17,17,1,1,469.59,469.75,4477208.074,5362874.079,1978-04-10T00:00:00,andauernd
18,18,1,8,469.7,469.93,4477207.419,5362878.064,1978-04-10T00:00:00,andauernd
19,19,2,2,469.84,469.98,4477206.752,5362882.047,1978-04-10T00:00:00,andauernd
20,20,2,9,469.91,470.32,4477206.067,5362886.033,1978-04-10T00:00:00,andauernd
21,21,3,3,470.13,470.35,4477205.414,5362890.009,1978-04-10T00:00:00,andauernd
22,22,3,10,470.33,470.5,4477204.757,5362893.998,1978-04-10T00:00:00,andauernd
23,23,4,15,470.48,470.67,4477204.098,5362897.954,1978-04-10T00:00:00,andauernd
24,24,4,15,470.78,470.95,4477203.412,5362901.964,1978-04-10T00:00:00,andauernd
25,25,1,5,469.78,470.06,4477200.186,5362872.762,1978-04-10T00:00:00,andauernd
26,26,1,12,496.88,470.15,4477199.5,5362876.748,1978-04-10T00:00:00,andauernd
27,27,2,6,470.01,470.25,4477198.856,5362880.722,1978-04-10T00:00:00,andauernd
28,28,2,13,470.14,470.48,4477198.171,5362884.708,1978-04-10T00:00:00,andauernd
29,29,3,7,470.34,470.63,4477197.533,5362888.668,1978-04-10T00:00:00,andauernd
30,30,3,14,470.52,470.75,4477196.877,5362892.673,1978-04-10T00:00:00,andauernd
31,31,4,4,470.66,470.87,4477196.218,5362896.629,1978-04-10T00:00:00,andauernd
32,32,4,11,470.95,471.16,4477195.532,5362900.639,1978-04-10T00:00:00,andauernd
33,33,1,2,469.99,470.05,4477192.281,5362871.438,1978-04-10T00:00:00,andauernd
34,34,1,9,470.08,470.27,4477191.618,5362875.419,1978-04-10T00:00:00,andauernd
35,35,2,3,470.2,470.33,4477190.967,5362879.399,1978-04-10T00:00:00,andauernd
36,36,2,10,470.29,470.52,4477190.282,5362883.377,1978-04-10T00:00:00,andauernd
37,37,3,15,470.51,470.72,4477189.66,5362887.336,1978-04-10T00:00:00,andauernd
38,38,3,15,470.66,470.9,4477189.004,5362891.341,1978-04-10T00:00:00,andauernd
39,39,4,1,470.81,471.02,4477188.345,5362895.298,1978-04-10T00:00:00,andauernd
40,40,4,8,471.02,471.25,4477187.659,5362899.308,1978-04-10T00:00:00,andauernd
41,41,1,6,470.13,470.22,4477184.388,5362870.112,1978-04-10T00:00:00,andauernd
42,42,1,13,470.21,470.3,4477183.734,5362874.104,1978-04-10T00:00:00,andauernd
43,43,2,7,470.27,470.51,4477183.065,5362878.064,1978-04-10T00:00:00,andauernd
44,44,2,14,470.46,470.64,4477182.404,5362882.035,1978-04-10T00:00:00,andauernd
45,45,3,4,470.65,470.84,4477181.791,5362886.018,1978-04-10T00:00:00,andauernd
46,46,3,11,470.82,471.01,4477181.134,5362890.023,1978-04-10T00:00:00,andauernd
47,47,4,5,470.98,471.17,4477180.475,5362893.979,1978-04-10T00:00:00,andauernd
48,48,4,12,471.2,471.45,4477179.789,5362897.989,1978-04-10T00:00:00,andauernd
49,49,1,3,470.2,470.34,4477176.548,5362868.781,1978-04-10T00:00:00,andauernd
50,50,1,10,470.24,470.4,4477175.879,5362872.762,1978-04-10T00:00:00,andauernd
51,51,2,15,470.47,470.63,4477175.235,5362876.684,1978-04-10T00:00:00,andauernd
52,52,2,15,470.63,470.73,4477174.548,5362880.712,1978-04-10T00:00:00,andauernd
53,53,3,1,470.78,470.96,4477173.903,5362884.679,1978-04-10T00:00:00,andauernd
54,54,3,8,470.95,471.15,4477173.247,5362888.684,1978-04-10T00:00:00,andauernd
55,55,4,2,471.12,471.32,4477172.587,5362892.641,1978-04-10T00:00:00,andauernd
56,56,4,9,471.31,471.57,4477171.901,5362896.651,1978-04-10T00:00:00,andauernd
57,57,1,7,470.16,470.35,4477168.657,5362867.468,1978-04-10T00:00:00,andauernd
58,58,1,14,470.35,470.51,4477167.991,5362871.434,1978-04-10T00:00:00,andauernd
59,59,2,4,470.5,470.69,4477167.318,5362875.394,1978-04-10T00:00:00,andauernd
60,60,2,11,470.69,470.88,4477166.665,5362879.372,1978-04-10T00:00:00,andauernd
61,61,3,5,470.82,471.08,4477166.011,5362883.364,1978-04-10T00:00:00,andauernd
62,62,3,12,471.04,471.24,4477165.355,5362887.369,1978-04-10T00:00:00,andauernd
63,63,4,6,471.21,471.42,4477164.695,5362891.325,1978-04-10T00:00:00,andauernd
64,64,4,13,471.29,471.67,4477164.01,5362895.335,1978-04-10T00:00:00,andauernd
65,65,5,4,470.67,470.9,4477218.431,5362908.753,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
66,66,5,11,471.04,471.28,4477217.754,5362912.743,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
67,67,6,15,471.27,471.65,4477217.094,5362916.7,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
68,68,6,15,471.59,471.92,4477216.408,5362920.709,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
69,69,5,1,470.73,471.05,4477210.532,5362907.42,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
70,70,5,8,471.09,471.38,4477209.876,5362911.409,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
71,71,6,4,471.35,471.63,4477209.216,5362915.365,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
72,72,6,11,471.7,471.88,4477208.531,5362919.375,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
73,73,5,5,470.94,471.25,4477202.662,5362906.095,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
74,74,5,12,471.24,471.46,4477202.006,5362910.084,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
75,75,6,1,471.52,471.77,4477201.346,5362914.041,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
76,76,6,8,471.82,472.06,4477200.66,5362918.051,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
77,77,5,2,471.05,471.32,4477194.782,5362904.755,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
78,78,5,9,471.33,471.66,4477194.113,5362908.766,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
79,79,6,5,471.6,471.93,4477193.466,5362912.716,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
80,80,6,12,471.9,472.16,4477192.78,5362916.726,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
81,81,5,6,471.23,471.51,4477186.909,5362903.423,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
82,82,5,13,471.51,471.7,4477186.252,5362907.428,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
83,83,6,2,471.71,472,4477185.593,5362911.384,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
84,84,6,9,472.01,472.27,4477184.907,5362915.394,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
85,85,5,3,471.45,471.63,4477179.039,5362902.105,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
86,86,5,10,471.65,471.88,4477178.383,5362906.11,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
87,87,6,6,471.92,472.15,4477177.723,5362910.066,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
88,88,6,13,472.2,472.35,4477177.038,5362914.076,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
89,89,5,7,471.48,471.71,4477171.151,5362900.766,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
90,90,5,14,471.78,472,4477170.495,5362904.771,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
91,91,6,3,471.94,472.32,4477169.835,5362908.728,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
92,92,6,10,472.26,472.58,4477169.15,5362912.737,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
93,93,5,15,471.6,471.83,4477163.26,5362899.45,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
94,94,5,15,471.79,472.07,4477162.603,5362903.455,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
95,95,6,7,472.08,472.43,4477161.944,5362907.412,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
96,96,6,14,472.38,472.62,4477161.258,5362911.422,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
