"experiment_ID","experiment_year","fertilizer_level","fertilization_date","fertilizer_material","fertilizer_total_amount","N_in_applied_fertilizer","phosphorus_applied_fert","fertilizer_K_applied","Mg_in_applied_fertilizer","Ca_in_applied_fertilizer","S_in_applied_fertilizer","B_in_applied_fertilizer","Zn_in_applied_fertilizer","Mn_in_applied_fertilizer","Fe_in_applied_fertilizer","fertilizer_applic_method"
"LTFE_Duernast","2015",1,"2015-04-08","FE005",173.9,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",1,"2015-06-01","FE005",130.4,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",1,"2015-07-02","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",2,"2015-04-08","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",2,"2015-06-01","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",2,"2015-07-02","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",3,"2015-04-08","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",3,"2015-06-01","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",3,"2015-07-02","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",4,"2015-04-08","FE010",266.7,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",4,"2015-06-01","FE010",200,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",4,"2015-07-02","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",5,"2015-04-08","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2015",5,"2015-06-01","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2015",5,"2015-07-02","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2015",6,"2015-04-08","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2015",6,"2015-06-01","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2015",6,"2015-07-02","FE011",74.1,20,0,0,0,6.3635,0,0,0,0,0,NA
"LTFE_Duernast","2015",7,"2015-04-08","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2015",7,"2015-06-01","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2015",7,"2015-07-02","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2015",8,"2015-04-08","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2015",8,"2015-06-01","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2015",8,"2015-07-02","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2015",9,"2015-04-08","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA
"LTFE_Duernast","2015",9,"2015-06-01","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA
"LTFE_Duernast","2015",9,"2015-07-02","FE050",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",10,"2015-04-08","FE050",400,80,0,0,0,157.3,0,0,0,0,0,NA
"LTFE_Duernast","2015",10,"2015-06-01","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA
"LTFE_Duernast","2015",10,"2015-07-02","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2015",11,"2015-04-08","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2015",11,"2015-06-01","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2015",11,"2015-07-02","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2015",12,"2015-04-08","FE060",307.7,80,0,0,0,0,40,0,0,0,0,NA
"LTFE_Duernast","2015",12,"2015-06-01","FE060",230.8,60,0,0,0,0,30,0,0,0,0,NA
"LTFE_Duernast","2015",12,"2015-07-02","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2015",13,"2015-04-08","FE900",307.7,80,0,0,0,0,40,0,0,0,0,NA
"LTFE_Duernast","2015",13,"2015-06-01","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",13,"2015-07-02","FE011",153.8,40,0,0,0,13.2275,0,0,0,0,0,NA
"LTFE_Duernast","2015",14,"2015-04-08","FE900",461.5,120,0,0,0,0,60,0,0,0,0,NA
"LTFE_Duernast","2015",14,"2015-06-01","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",14,"2015-07-02","FE011",230.8,60,0,0,0,19.8055,0,0,0,0,0,NA
"LTFE_Duernast","2015",15,"2015-04-08",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",15,"2015-06-01",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2015",15,"2015-07-02",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2016",1,"2016-05-19","FE005",173.9,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2016",1,"2016-06-02","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2016",2,"2016-05-19","FE005",260.9,120,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2016",2,"2016-06-02","FE005",130.4,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2016",3,"2016-05-19","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2016",3,"2016-06-02","FE010",266.7,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2016",4,"2016-05-19","FE010",200,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2016",4,"2016-06-02","FE010",400,120,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2016",5,"2016-05-19","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2016",5,"2016-06-02","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2016",6,"2016-05-19","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2016",6,"2016-06-02","FE011",444.4,120,0,0,0,38.1095,0,0,0,0,0,NA
"LTFE_Duernast","2016",7,"2016-05-19","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2016",7,"2016-06-02","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2016",8,"2016-05-19","FE011",444.4,120,0,0,0,38.1095,0,0,0,0,0,NA
"LTFE_Duernast","2016",8,"2016-06-02","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2016",9,"2016-05-19","FE050",400,80,0,0,0,157.3,0,0,0,0,0,NA
"LTFE_Duernast","2016",9,"2016-06-02","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2016",10,"2016-05-19","FE050",500,100,0,0,0,196.625,0,0,0,0,0,NA
"LTFE_Duernast","2016",10,"2016-06-02","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2016",11,"2016-05-19","FE060",307.7,80,0,0,0,0,40,0,0,0,0,NA
"LTFE_Duernast","2016",11,"2016-06-02","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2016",12,"2016-05-19","FE060",461.5,120,0,0,0,0,60,0,0,0,0,NA
"LTFE_Duernast","2016",12,"2016-06-02","FE060",230.8,60,0,0,0,0,30,0,0,0,0,NA
"LTFE_Duernast","2016",13,"2016-05-19","FE900",461.5,120,0,0,0,0,60,0,0,0,0,NA
"LTFE_Duernast","2016",13,"2016-06-02","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2016",14,"2016-05-19","FE900",692.3,180,0,0,0,0,90,0,0,0,0,NA
"LTFE_Duernast","2016",14,"2016-06-02","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2016",15,"2016-05-19",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2016",15,"2016-06-02",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",1,"2017-02-04","FE005",173.9,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",1,"2017-05-24","FE005",130.4,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",1,"2017-06-13","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",2,"2017-02-04","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",2,"2017-05-24","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",2,"2017-06-13","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",3,"2017-02-04","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",3,"2017-05-24","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",3,"2017-06-22","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",4,"2017-02-04","FE010",266.7,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",4,"2017-05-24","FE010",200,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",4,"2017-06-22","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",5,"2017-02-04","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2017",5,"2017-05-24","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2017",5,"2017-06-13","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2017",6,"2017-02-04","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2017",6,"2017-05-24","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2017",6,"2017-06-13","FE011",74.1,20,0,0,0,6.3635,0,0,0,0,0,NA
"LTFE_Duernast","2017",7,"2017-02-04","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2017",7,"2017-05-24","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2017",7,"2017-06-13","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2017",8,"2017-02-04","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2017",8,"2017-05-24","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2017",8,"2017-06-13","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2017",9,"2017-02-04","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA
"LTFE_Duernast","2017",9,"2017-05-24","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA
"LTFE_Duernast","2017",9,"2017-06-13","FE050",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",10,"2017-02-04","FE050",400,80,0,0,0,157.3,0,0,0,0,0,NA
"LTFE_Duernast","2017",10,"2017-05-24","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA
"LTFE_Duernast","2017",10,"2017-06-13","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2017",11,"2017-02-04","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2017",11,"2017-05-24","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2017",11,"2017-06-13","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2017",12,"2017-02-04","FE060",307.7,80,0,0,0,0,40,0,0,0,0,NA
"LTFE_Duernast","2017",12,"2017-05-24","FE060",230.8,60,0,0,0,0,30,0,0,0,0,NA
"LTFE_Duernast","2017",12,"2017-06-13","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2017",13,"2017-02-04","FE900",307.7,80,0,0,0,0,40,0,0,0,0,NA
"LTFE_Duernast","2017",13,"2017-05-24","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",13,"2017-06-13","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2017",14,"2017-02-04","FE900",461.5,120,0,0,0,0,60,0,0,0,0,NA
"LTFE_Duernast","2017",14,"2017-05-24","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",14,"2017-06-13","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2017",15,"2017-02-04",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",15,"2017-05-24",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",15,"2017-06-13",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",1,"2018-04-25","FE014",195.7,0,39.24,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",1,"2018-05-30","FE005",173.9,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",1,"2018-06-12","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",2,"2018-04-25","FE014",195.7,0,39.24,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",2,"2018-05-30","FE005",260.9,120,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",2,"2018-06-12","FE005",130.4,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",3,"2018-04-25","FE014",195.7,0,39.24,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",3,"2018-05-30","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",3,"2018-06-14","FE010",266.7,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",4,"2018-04-25","FE014",195.7,0,39.24,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",4,"2018-05-30","FE010",200,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",4,"2018-06-14","FE010",400,120,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",5,"2018-04-25","FE014",195.7,0,39.24,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",5,"2018-05-30","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2018",5,"2018-06-12","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2018",6,"2018-04-25","FE014",195.7,0,39.24,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",6,"2018-05-30","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2018",6,"2018-06-12","FE011",444.4,120,0,0,0,38.1095,0,0,0,0,0,NA
"LTFE_Duernast","2018",7,"2018-04-25","FE014",195.7,0,39.24,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",7,"2018-05-30","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2018",7,"2018-06-12","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2018",8,"2018-04-25","FE014",195.7,0,39.24,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",8,"2018-05-30","FE011",444.4,120,0,0,0,38.1095,0,0,0,0,0,NA
"LTFE_Duernast","2018",8,"2018-06-12","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2018",9,"2018-04-25","FE014",195.7,0,39.24,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",9,"2018-05-30","FE050",400,80,0,0,0,157.3,0,0,0,0,0,NA
"LTFE_Duernast","2018",9,"2018-06-12","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
