"experiment_ID","experiment_year","fertilizer_level","fertilization_date","fertilizer_material","fertilizer_total_amount","N_in_applied_fertilizer","phosphorus_applied_fert","fertilizer_K_applied","Mg_in_applied_fertilizer","Ca_in_applied_fertilizer","S_in_applied_fertilizer","B_in_applied_fertilizer","Zn_in_applied_fertilizer","Mn_in_applied_fertilizer","Fe_in_applied_fertilizer","fertilizer_applic_method"
"LTFE_Duernast","2018",10,"2018-04-25","FE014",195.7,0,39.24,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",10,"2018-05-30","FE050",500,100,0,0,0,196.625,0,0,0,0,0,NA
"LTFE_Duernast","2018",10,"2018-06-12","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2018",11,"2018-04-25","FE014",195.7,0,39.24,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",11,"2018-05-30","FE060",307.7,80,0,0,0,0,40,0,0,0,0,NA
"LTFE_Duernast","2018",11,"2018-06-12","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2018",12,"2018-04-25","FE014",195.7,0,39.24,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",12,"2018-05-30","FE060",461.5,120,0,0,0,0,60,0,0,0,0,NA
"LTFE_Duernast","2018",12,"2018-06-12","FE060",230.8,60,0,0,0,0,30,0,0,0,0,NA
"LTFE_Duernast","2018",13,"2018-04-25","FE014",195.7,0,39.24,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",13,"2018-05-30","FE900",461.5,120,0,0,0,0,60,0,0,0,0,NA
"LTFE_Duernast","2018",13,"2018-06-12","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",14,"2018-04-25","FE014",195.7,0,39.24,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",14,"2018-05-30","FE900",692.3,180,0,0,0,0,90,0,0,0,0,NA
"LTFE_Duernast","2018",14,"2018-06-12","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",15,"2018-04-25","FE014",195.7,0,39.24,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",15,"2018-05-30",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2018",15,"2018-06-12",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",1,"2019-03-21","FE900",500,0,0,166,0,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",1,"2019-03-27","FE005",173.9,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",1,"2019-05-14","FE005",130.4,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",1,"2019-06-06","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",2,"2019-03-21","FE900",500,0,0,166,0,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",2,"2019-03-27","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",2,"2019-05-14","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",2,"2019-06-06","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",3,"2019-03-21","FE900",500,0,0,166,0,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",3,"2019-03-27","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",3,"2019-05-14","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",3,"2019-06-06","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",4,"2019-03-21","FE900",500,0,0,166,0,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",4,"2019-03-27","FE010",266.7,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",4,"2019-05-14","FE010",200,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",4,"2019-06-06","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",5,"2019-03-21","FE900",500,0,0,166,0,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",5,"2019-03-27","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2019",5,"2019-05-14","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2019",5,"2019-06-06","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2019",6,"2019-03-21","FE900",500,0,0,166,0,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",6,"2019-03-27","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2019",6,"2019-05-14","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2019",6,"2019-06-06","FE011",74.1,20,0,0,0,6.3635,0,0,0,0,0,NA
"LTFE_Duernast","2019",7,"2019-03-21","FE900",500,0,0,166,0,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",7,"2019-03-27","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2019",7,"2019-05-14","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2019",7,"2019-06-06","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2019",8,"2019-03-21","FE900",500,0,0,166,0,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",8,"2019-03-27","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2019",8,"2019-05-14","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2019",8,"2019-06-06","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2019",9,"2019-03-21","FE900",500,0,0,166,0,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",9,"2019-03-27","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA
"LTFE_Duernast","2019",9,"2019-05-14","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA
"LTFE_Duernast","2019",9,"2019-06-06","FE011",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",10,"2019-03-21","FE900",500,0,0,166,0,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",10,"2019-03-27","FE050",400,80,0,0,0,157.3,0,0,0,0,0,NA
"LTFE_Duernast","2019",10,"2019-05-14","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA
"LTFE_Duernast","2019",10,"2019-06-06","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2019",11,"2019-03-21","FE900",500,0,0,166,0,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",11,"2019-03-27","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2019",11,"2019-05-14","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2019",11,"2019-06-06","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2019",12,"2019-03-21","FE900",500,0,0,166,0,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",12,"2019-03-27","FE060",307.7,80,0,0,0,0,40,0,0,0,0,NA
"LTFE_Duernast","2019",12,"2019-05-14","FE060",230.8,60,0,0,0,0,30,0,0,0,0,NA
"LTFE_Duernast","2019",12,"2019-06-06","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2019",13,"2019-03-21","FE900",500,0,0,166,0,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",13,"2019-03-27","FE900",307.7,80,0,0,0,0,40,0,0,0,0,NA
"LTFE_Duernast","2019",13,"2019-05-14","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",13,"2019-06-06","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2019",14,"2019-03-21","FE900",500,0,0,166,0,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",14,"2019-03-27","FE900",461.5,120,0,0,0,0,60,0,0,0,0,NA
"LTFE_Duernast","2019",14,"2019-05-14","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",14,"2019-06-06","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2019",15,"2019-03-21","FE900",500,0,0,166,18.09,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",15,"2019-03-21","FE900",500,0,0,166,0,0,2500,0,0,0,0,NA
"LTFE_Duernast","2019",15,"2019-03-27",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",15,"2019-05-14",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2019",15,"2019-06-06",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",1,"2021-03-29","FE005",173.9,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",1,"2021-04-26","FE005",130.4,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",1,"2021-06-14","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",2,"2021-03-29","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",2,"2021-04-26","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",2,"2021-06-14","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",3,"2021-03-29","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",3,"2021-04-26","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",3,"2021-06-14","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",4,"2021-03-29","FE010",266.7,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",4,"2021-04-26","FE010",200,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",4,"2021-06-14","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",5,"2021-03-29","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2021",5,"2021-04-26","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2021",5,"2021-06-14","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2021",6,"2021-03-29","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2021",6,"2021-04-26","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2021",6,"2021-06-14","FE011",74.1,20,0,0,0,6.3635,0,0,0,0,0,NA
"LTFE_Duernast","2021",7,"2021-03-29","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2021",7,"2021-04-26","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2021",7,"2021-06-14","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2021",8,"2021-03-29","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2021",8,"2021-04-26","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2021",8,"2021-06-14","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2021",9,"2021-03-29","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA
"LTFE_Duernast","2021",9,"2021-04-26","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA
"LTFE_Duernast","2021",9,"2021-06-14","FE011",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",10,"2021-03-29","FE050",400,80,0,0,0,157.3,0,0,0,0,0,NA
"LTFE_Duernast","2021",10,"2021-04-26","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA
"LTFE_Duernast","2021",10,"2021-06-14","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2021",11,"2021-03-29","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2021",11,"2021-04-26","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2021",11,"2021-06-14","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2021",12,"2021-03-29","FE060",307.7,80,0,0,0,0,40,0,0,0,0,NA
"LTFE_Duernast","2021",12,"2021-04-26","FE060",230.8,60,0,0,0,0,30,0,0,0,0,NA
"LTFE_Duernast","2021",12,"2021-06-14","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2021",13,"2021-03-29","FE900",307.7,80,0,0,0,0,40,0,0,0,0,NA
"LTFE_Duernast","2021",13,"2021-04-26","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",13,"2021-06-14","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2021",14,"2021-03-29","FE900",461.5,120,0,0,0,0,60,0,0,0,0,NA
"LTFE_Duernast","2021",14,"2021-04-26","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",14,"2021-06-14","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2021",15,"2021-03-29",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",15,"2021-04-26",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2021",15,"2021-06-14",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2022",1,"2022-06-08","FE005",173.9,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2022",1,"2022-06-21","FE005",87,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2022",2,"2022-06-08","FE005",260.9,120,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2022",2,"2022-06-21","FE005",130.4,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2022",3,"2022-06-08","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2022",3,"2022-06-21","FE010",266.7,80,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2022",4,"2022-06-08","FE010",200,60,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2022",4,"2022-06-21","FE010",400,120,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2022",5,"2022-06-08","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2022",5,"2022-06-21","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2022",6,"2022-06-08","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2022",6,"2022-06-21","FE011",444.4,120,0,0,0,38.1095,0,0,0,0,0,NA
"LTFE_Duernast","2022",7,"2022-06-08","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2022",7,"2022-06-21","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2022",8,"2022-06-08","FE011",444.4,120,0,0,0,38.1095,0,0,0,0,0,NA
"LTFE_Duernast","2022",8,"2022-06-21","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2022",9,"2022-06-08","FE050",400,80,0,0,0,157.3,0,0,0,0,0,NA
"LTFE_Duernast","2022",9,"2022-06-21","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2022",10,"2022-06-08","FE050",500,100,0,0,0,196.625,0,0,0,0,0,NA
"LTFE_Duernast","2022",10,"2022-06-21","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2022",11,"2022-06-08","FE060",307.7,80,0,0,0,0,40,0,0,0,0,NA
"LTFE_Duernast","2022",11,"2022-06-21","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA
"LTFE_Duernast","2022",12,"2022-06-08","FE060",461.5,120,0,0,0,0,60,0,0,0,0,NA
"LTFE_Duernast","2022",12,"2022-06-21","FE060",230.8,60,0,0,0,0,30,0,0,0,0,NA
"LTFE_Duernast","2022",13,"2022-06-08","FE900",461.5,120,0,0,0,0,60,0,0,0,0,NA
"LTFE_Duernast","2022",13,"2022-06-21","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2022",14,"2022-06-08","FE900",692.3,180,0,0,0,0,90,0,0,0,0,NA
"LTFE_Duernast","2022",14,"2022-06-21","FE900",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2022",15,"2022-06-08",NA,0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2022",15,"2022-06-21",NA,0,0,0,0,0,0,0,0,0,0,0,NA
