Versuchsaufbau_ID,Versuchsjahr,Parzelle_ID,Kultur_ID,Pruefglied_ID
3585,2015,1,8,15
3586,2015,2,8,15
3587,2015,3,8,1
3588,2015,4,8,8
3589,2015,5,8,2
3590,2015,6,8,9
3591,2015,7,8,3
3592,2015,8,8,10
3593,2015,9,8,4
3594,2015,10,8,11
3595,2015,11,8,5
3596,2015,12,8,12
3597,2015,13,8,6
3598,2015,14,8,13
3599,2015,15,8,7
3600,2015,16,8,14
3601,2015,17,8,1
3602,2015,18,8,8
3603,2015,19,8,2
3604,2015,20,8,9
3605,2015,21,8,3
3606,2015,22,8,10
3607,2015,23,8,15
3608,2015,24,8,15
3609,2015,25,8,5
3610,2015,26,8,12
3611,2015,27,8,6
3612,2015,28,8,13
3613,2015,29,8,7
3614,2015,30,8,14
3615,2015,31,8,4
3616,2015,32,8,11
3617,2015,33,8,2
3618,2015,34,8,9
3619,2015,35,8,3
3620,2015,36,8,10
3621,2015,37,8,15
3622,2015,38,8,15
3623,2015,39,8,1
3624,2015,40,8,8
3625,2015,41,8,6
3626,2015,42,8,13
3627,2015,43,8,7
3628,2015,44,8,14
3629,2015,45,8,4
3630,2015,46,8,11
3631,2015,47,8,5
3632,2015,48,8,12
3633,2015,49,8,3
3634,2015,50,8,10
3635,2015,51,8,15
3636,2015,52,8,15
3637,2015,53,8,1
3638,2015,54,8,8
3639,2015,55,8,2
3640,2015,56,8,9
3641,2015,57,8,7
3642,2015,58,8,14
3643,2015,59,8,4
3644,2015,60,8,11
3645,2015,61,8,5
3646,2015,62,8,12
3647,2015,63,8,6
3648,2015,64,8,13
3649,2016,1,1,15
3650,2016,2,1,15
3651,2016,3,1,1
3652,2016,4,1,8
3653,2016,5,1,2
3654,2016,6,1,9
3655,2016,7,1,3
3656,2016,8,1,10
3657,2016,9,1,4
3658,2016,10,1,11
3659,2016,11,1,5
3660,2016,12,1,12
3661,2016,13,1,6
3662,2016,14,1,13
3663,2016,15,1,7
3664,2016,16,1,14
3665,2016,17,1,1
3666,2016,18,1,8
3667,2016,19,1,2
3668,2016,20,1,9
3669,2016,21,1,3
3670,2016,22,1,10
3671,2016,23,1,15
3672,2016,24,1,15
3673,2016,25,1,5
3674,2016,26,1,12
3675,2016,27,1,6
3676,2016,28,1,13
3677,2016,29,1,7
3678,2016,30,1,14
3679,2016,31,1,4
3680,2016,32,1,11
3681,2016,33,1,2
3682,2016,34,1,9
3683,2016,35,1,3
3684,2016,36,1,10
3685,2016,37,1,15
3686,2016,38,1,15
3687,2016,39,1,1
3688,2016,40,1,8
3689,2016,41,1,6
3690,2016,42,1,13
3691,2016,43,1,7
3692,2016,44,1,14
3693,2016,45,1,4
3694,2016,46,1,11
3695,2016,47,1,5
3696,2016,48,1,12
3697,2016,49,1,3
3698,2016,50,1,10
3699,2016,51,1,15
3700,2016,52,1,15
3701,2016,53,1,1
3702,2016,54,1,8
3703,2016,55,1,2
3704,2016,56,1,9
3705,2016,57,1,7
3706,2016,58,1,14
3707,2016,59,1,4
3708,2016,60,1,11
3709,2016,61,1,5
3710,2016,62,1,12
3711,2016,63,1,6
3712,2016,64,1,13
3713,2017,1,7,15
3714,2017,2,7,15
3715,2017,3,7,1
3716,2017,4,7,8
3717,2017,5,7,2
3718,2017,6,7,9
3719,2017,7,7,3
3720,2017,8,7,10
3721,2017,9,7,4
3722,2017,10,7,11
3723,2017,11,7,5
3724,2017,12,7,12
3725,2017,13,7,6
3726,2017,14,7,13
3727,2017,15,7,7
3728,2017,16,7,14
3729,2017,17,7,1
3730,2017,18,7,8
3731,2017,19,7,2
3732,2017,20,7,9
3733,2017,21,7,3
3734,2017,22,7,10
3735,2017,23,7,15
3736,2017,24,7,15
3737,2017,25,7,5
3738,2017,26,7,12
3739,2017,27,7,6
3740,2017,28,7,13
3741,2017,29,7,7
3742,2017,30,7,14
3743,2017,31,7,4
3744,2017,32,7,11
3745,2017,33,7,2
3746,2017,34,7,9
3747,2017,35,7,3
3748,2017,36,7,10
3749,2017,37,7,15
3750,2017,38,7,15
3751,2017,39,7,1
3752,2017,40,7,8
3753,2017,41,7,6
3754,2017,42,7,13
3755,2017,43,7,7
3756,2017,44,7,14
3757,2017,45,7,4
3758,2017,46,7,11
3759,2017,47,7,5
3760,2017,48,7,12
3761,2017,49,7,3
3762,2017,50,7,10
3763,2017,51,7,15
3764,2017,52,7,15
3765,2017,53,7,1
3766,2017,54,7,8
3767,2017,55,7,2
3768,2017,56,7,9
3769,2017,57,7,7
3770,2017,58,7,14
3771,2017,59,7,4
3772,2017,60,7,11
3773,2017,61,7,5
3774,2017,62,7,12
3775,2017,63,7,6
3776,2017,64,7,13
3777,2018,1,13,15
3778,2018,2,13,15
3779,2018,3,13,1
3780,2018,4,13,8
3781,2018,5,13,2
3782,2018,6,13,9
3783,2018,7,13,3
3784,2018,8,13,10
3785,2018,9,13,4
3786,2018,10,13,11
3787,2018,11,13,5
3788,2018,12,13,12
3789,2018,13,13,6
3790,2018,14,13,13
3791,2018,15,13,7
3792,2018,16,13,14
3793,2018,17,13,1
3794,2018,18,13,8
3795,2018,19,13,2
3796,2018,20,13,9
3797,2018,21,13,3
3798,2018,22,13,10
3799,2018,23,13,15
3800,2018,24,13,15
3801,2018,25,13,5
3802,2018,26,13,12
3803,2018,27,13,6
3804,2018,28,13,13
3805,2018,29,13,7
3806,2018,30,13,14
3807,2018,31,13,4
3808,2018,32,13,11
3809,2018,33,13,2
3810,2018,34,13,9
3811,2018,35,13,3
3812,2018,36,13,10
3813,2018,37,13,15
3814,2018,38,13,15
3815,2018,39,13,1
3816,2018,40,13,8
3817,2018,41,13,6
3818,2018,42,13,13
3819,2018,43,13,7
3820,2018,44,13,14
3821,2018,45,13,4
3822,2018,46,13,11
3823,2018,47,13,5
3824,2018,48,13,12
3825,2018,49,13,3
3826,2018,50,13,10
3827,2018,51,13,15
3828,2018,52,13,15
3829,2018,53,13,1
3830,2018,54,13,8
3831,2018,55,13,2
3832,2018,56,13,9
3833,2018,57,13,7
3834,2018,58,13,14
3835,2018,59,13,4
3836,2018,60,13,11
3837,2018,61,13,5
3838,2018,62,13,12
3839,2018,63,13,6
3840,2018,64,13,13
3841,2018,1,1,15
3842,2018,2,1,15
3843,2018,3,1,1
3844,2018,4,1,8
3845,2018,5,1,2
3846,2018,6,1,9
3847,2018,7,1,3
3848,2018,8,1,10
3849,2018,9,1,4
3850,2018,10,1,11
3851,2018,11,1,5
3852,2018,12,1,12
3853,2018,13,1,6
3854,2018,14,1,13
3855,2018,15,1,7
3856,2018,16,1,14
3857,2018,17,1,1
3858,2018,18,1,8
3859,2018,19,1,2
3860,2018,20,1,9
3861,2018,21,1,3
3862,2018,22,1,10
3863,2018,23,1,15
3864,2018,24,1,15
3865,2018,25,1,5
3866,2018,26,1,12
3867,2018,27,1,6
3868,2018,28,1,13
3869,2018,29,1,7
3870,2018,30,1,14
3871,2018,31,1,4
3872,2018,32,1,11
3873,2018,33,1,2
3874,2018,34,1,9
3875,2018,35,1,3
3876,2018,36,1,10
3877,2018,37,1,15
3878,2018,38,1,15
3879,2018,39,1,1
3880,2018,40,1,8
3881,2018,41,1,6
3882,2018,42,1,13
3883,2018,43,1,7
3884,2018,44,1,14
3885,2018,45,1,4
3886,2018,46,1,11
3887,2018,47,1,5
3888,2018,48,1,12
3889,2018,49,1,3
3890,2018,50,1,10
3891,2018,51,1,15
3892,2018,52,1,15
3893,2018,53,1,1
3894,2018,54,1,8
3895,2018,55,1,2
3896,2018,56,1,9
3897,2018,57,1,7
3898,2018,58,1,14
3899,2018,59,1,4
3900,2018,60,1,11
3901,2018,61,1,5
3902,2018,62,1,12
3903,2018,63,1,6
3904,2018,64,1,13
3905,2019,1,7,15
3906,2019,2,7,15
3907,2019,3,7,1
3908,2019,4,7,8
3909,2019,5,7,2
3910,2019,6,7,9
3911,2019,7,7,3
3912,2019,8,7,10
3913,2019,9,7,4
3914,2019,10,7,11
3915,2019,11,7,5
3916,2019,12,7,12
3917,2019,13,7,6
3918,2019,14,7,13
3919,2019,15,7,7
3920,2019,16,7,14
3921,2019,17,7,1
3922,2019,18,7,8
3923,2019,19,7,2
3924,2019,20,7,9
3925,2019,21,7,3
3926,2019,22,7,10
3927,2019,23,7,15
3928,2019,24,7,15
3929,2019,25,7,5
3930,2019,26,7,12
3931,2019,27,7,6
3932,2019,28,7,13
3933,2019,29,7,7
3934,2019,30,7,14
3935,2019,31,7,4
3936,2019,32,7,11
3937,2019,33,7,2
3938,2019,34,7,9
3939,2019,35,7,3
3940,2019,36,7,10
3941,2019,37,7,15
3942,2019,38,7,15
3943,2019,39,7,1
3944,2019,40,7,8
3945,2019,41,7,6
3946,2019,42,7,13
3947,2019,43,7,7
3948,2019,44,7,14
3949,2019,45,7,4
3950,2019,46,7,11
3951,2019,47,7,5
3952,2019,48,7,12
3953,2019,49,7,3
3954,2019,50,7,10
3955,2019,51,7,15
3956,2019,52,7,15
3957,2019,53,7,1
3958,2019,54,7,8
3959,2019,55,7,2
3960,2019,56,7,9
3961,2019,57,7,7
3962,2019,58,7,14
3963,2019,59,7,4
3964,2019,60,7,11
3965,2019,61,7,5
3966,2019,62,7,12
3967,2019,63,7,6
3968,2019,64,7,13
3969,2020,1,8,15
3970,2020,2,8,15
3971,2020,3,8,1
3972,2020,4,8,8
3973,2020,5,8,2
3974,2020,6,8,9
3975,2020,7,8,3
3976,2020,8,8,10
3977,2020,9,8,4
3978,2020,10,8,11
3979,2020,11,8,5
3980,2020,12,8,12
3981,2020,13,8,6
3982,2020,14,8,13
3983,2020,15,8,7
3984,2020,16,8,14
3985,2020,17,8,1
3986,2020,18,8,8
3987,2020,19,8,2
3988,2020,20,8,9
3989,2020,21,8,3
3990,2020,22,8,10
3991,2020,23,8,15
3992,2020,24,8,15
3993,2020,25,8,5
3994,2020,26,8,12
3995,2020,27,8,6
3996,2020,28,8,13
3997,2020,29,8,7
3998,2020,30,8,14
3999,2020,31,8,4
4000,2020,32,8,11
4001,2020,33,8,2
4002,2020,34,8,9
4003,2020,35,8,3
4004,2020,36,8,10
4005,2020,37,8,15
4006,2020,38,8,15
4007,2020,39,8,1
4008,2020,40,8,8
4009,2020,41,8,6
4010,2020,42,8,13
4011,2020,43,8,7
4012,2020,44,8,14
4013,2020,45,8,4
4014,2020,46,8,11
4015,2020,47,8,5
4016,2020,48,8,12
4017,2020,49,8,3
4018,2020,50,8,10
4019,2020,51,8,15
4020,2020,52,8,15
4021,2020,53,8,1
4022,2020,54,8,8
4023,2020,55,8,2
4024,2020,56,8,9
4025,2020,57,8,7
4026,2020,58,8,14
4027,2020,59,8,4
4028,2020,60,8,11
4029,2020,61,8,5
4030,2020,62,8,12
4031,2020,63,8,6
4032,2020,64,8,13
4033,2021,1,5,15
4034,2021,2,5,15
4035,2021,3,5,1
4036,2021,4,5,8
4037,2021,5,5,2
4038,2021,6,5,9
4039,2021,7,5,3
4040,2021,8,5,10
4041,2021,9,5,4
4042,2021,10,5,11
4043,2021,11,5,5
4044,2021,12,5,12
4045,2021,13,5,6
4046,2021,14,5,13
4047,2021,15,5,7
4048,2021,16,5,14
4049,2021,17,5,1
4050,2021,18,5,8
4051,2021,19,5,2
4052,2021,20,5,9
4053,2021,21,5,3
4054,2021,22,5,10
4055,2021,23,5,15
4056,2021,24,5,15
4057,2021,25,5,5
4058,2021,26,5,12
4059,2021,27,5,6
4060,2021,28,5,13
4061,2021,29,5,7
4062,2021,30,5,14
4063,2021,31,5,4
4064,2021,32,5,11
4065,2021,33,5,2
4066,2021,34,5,9
4067,2021,35,5,3
4068,2021,36,5,10
4069,2021,37,5,15
4070,2021,38,5,15
4071,2021,39,5,1
4072,2021,40,5,8
4073,2021,41,5,6
4074,2021,42,5,13
4075,2021,43,5,7
4076,2021,44,5,14
4077,2021,45,5,4
4078,2021,46,5,11
4079,2021,47,5,5
4080,2021,48,5,12
4081,2021,49,5,3
4082,2021,50,5,10
4083,2021,51,5,15
4084,2021,52,5,15
4085,2021,53,5,1
4086,2021,54,5,8
4087,2021,55,5,2
4088,2021,56,5,9
4089,2021,57,5,7
4090,2021,58,5,14
4091,2021,59,5,4
4092,2021,60,5,11
4093,2021,61,5,5
4094,2021,62,5,12
4095,2021,63,5,6
4096,2021,64,5,13
4097,2022,1,1,15
4098,2022,2,1,15
4099,2022,3,1,1
4100,2022,4,1,8
4101,2022,5,1,2
4102,2022,6,1,9
4103,2022,7,1,3
4104,2022,8,1,10
4105,2022,9,1,4
4106,2022,10,1,11
4107,2022,11,1,5
4108,2022,12,1,12
4109,2022,13,1,6
4110,2022,14,1,13
4111,2022,15,1,7
4112,2022,16,1,14
4113,2022,17,1,1
4114,2022,18,1,8
4115,2022,19,1,2
4116,2022,20,1,9
4117,2022,21,1,3
4118,2022,22,1,10
4119,2022,23,1,15
4120,2022,24,1,15
4121,2022,25,1,5
4122,2022,26,1,12
4123,2022,27,1,6
4124,2022,28,1,13
4125,2022,29,1,7
4126,2022,30,1,14
4127,2022,31,1,4
4128,2022,32,1,11
4129,2022,33,1,2
4130,2022,34,1,9
4131,2022,35,1,3
4132,2022,36,1,10
4133,2022,37,1,15
4134,2022,38,1,15
4135,2022,39,1,1
4136,2022,40,1,8
4137,2022,41,1,6
4138,2022,42,1,13
4139,2022,43,1,7
4140,2022,44,1,14
4141,2022,45,1,4
4142,2022,46,1,11
4143,2022,47,1,5
4144,2022,48,1,12
4145,2022,49,1,3
4146,2022,50,1,10
4147,2022,51,1,15
4148,2022,52,1,15
4149,2022,53,1,1
4150,2022,54,1,8
4151,2022,55,1,2
4152,2022,56,1,9
4153,2022,57,1,7
4154,2022,58,1,14
4155,2022,59,1,4
4156,2022,60,1,11
4157,2022,61,1,5
4158,2022,62,1,12
4159,2022,63,1,6
4160,2022,64,1,13
