"experiment_ID","experiment_year","treatment_number","plot_id","harvest_date","harvest_yld_matur_dry_wt","byprod_removed_at_harv","obs_summary_comment"
"LTFE_Duernast",2015,1,3,"2015-08-25",6135,NA,NA
"LTFE_Duernast",2015,1,17,"2015-08-25",7525,NA,NA
"LTFE_Duernast",2015,1,39,"2015-08-25",6502,NA,NA
"LTFE_Duernast",2015,1,53,"2015-08-25",6705,NA,NA
"LTFE_Duernast",2015,2,5,"2015-08-25",7361,NA,NA
"LTFE_Duernast",2015,2,19,"2015-08-25",7488,NA,NA
"LTFE_Duernast",2015,2,33,"2015-08-25",7846,NA,NA
"LTFE_Duernast",2015,2,55,"2015-08-25",6388,NA,NA
"LTFE_Duernast",2015,3,7,"2015-08-25",6322,NA,NA
"LTFE_Duernast",2015,3,21,"2015-08-25",7806,NA,NA
"LTFE_Duernast",2015,3,35,"2015-08-25",7440,NA,NA
"LTFE_Duernast",2015,3,49,"2015-08-25",7562,NA,NA
"LTFE_Duernast",2015,4,9,"2015-08-25",6934,NA,NA
"LTFE_Duernast",2015,4,31,"2015-08-25",7110,NA,NA
"LTFE_Duernast",2015,4,45,"2015-08-25",7567,NA,NA
"LTFE_Duernast",2015,4,59,"2015-08-25",7049,NA,NA
"LTFE_Duernast",2015,5,11,"2015-08-25",7360,NA,NA
"LTFE_Duernast",2015,5,25,"2015-08-25",7198,NA,NA
"LTFE_Duernast",2015,5,47,"2015-08-25",7053,NA,NA
"LTFE_Duernast",2015,5,61,"2015-08-25",7096,NA,NA
"LTFE_Duernast",2015,6,13,"2015-08-25",6886,NA,NA
"LTFE_Duernast",2015,6,27,"2015-08-25",6594,NA,NA
"LTFE_Duernast",2015,6,41,"2015-08-25",6950,NA,NA
"LTFE_Duernast",2015,6,63,"2015-08-25",5447,NA,NA
"LTFE_Duernast",2015,7,15,"2015-08-25",7711,NA,NA
"LTFE_Duernast",2015,7,29,"2015-08-25",8215,NA,NA
"LTFE_Duernast",2015,7,43,"2015-08-25",7677,NA,NA
"LTFE_Duernast",2015,7,57,"2015-08-25",7895,NA,NA
"LTFE_Duernast",2015,8,4,"2015-08-25",7727,NA,NA
"LTFE_Duernast",2015,8,18,"2015-08-25",8440,NA,NA
"LTFE_Duernast",2015,8,40,"2015-08-25",7239,NA,NA
"LTFE_Duernast",2015,8,54,"2015-08-25",8097,NA,NA
"LTFE_Duernast",2015,9,6,"2015-08-25",8208,NA,NA
"LTFE_Duernast",2015,9,20,"2015-08-25",8853,NA,NA
"LTFE_Duernast",2015,9,34,"2015-08-25",8530,NA,NA
"LTFE_Duernast",2015,9,56,"2015-08-25",7117,NA,NA
"LTFE_Duernast",2015,10,8,"2015-08-25",6569,NA,NA
"LTFE_Duernast",2015,10,22,"2015-08-25",8412,NA,NA
"LTFE_Duernast",2015,10,36,"2015-08-25",7855,NA,NA
"LTFE_Duernast",2015,10,50,"2015-08-25",7929,NA,NA
"LTFE_Duernast",2015,11,10,"2015-08-25",8142,NA,NA
"LTFE_Duernast",2015,11,32,"2015-08-25",7313,NA,NA
"LTFE_Duernast",2015,11,46,"2015-08-25",8073,NA,NA
"LTFE_Duernast",2015,11,60,"2015-08-25",7538,NA,NA
"LTFE_Duernast",2015,12,12,"2015-08-25",8136,NA,NA
"LTFE_Duernast",2015,12,26,"2015-08-25",8035,NA,NA
"LTFE_Duernast",2015,12,48,"2015-08-25",6998,NA,NA
"LTFE_Duernast",2015,12,62,"2015-08-25",7481,NA,NA
"LTFE_Duernast",2015,13,14,"2015-08-25",7992,NA,NA
"LTFE_Duernast",2015,13,28,"2015-08-25",7961,NA,NA
"LTFE_Duernast",2015,13,42,"2015-08-25",7506,NA,NA
"LTFE_Duernast",2015,13,64,"2015-08-25",6256,NA,NA
"LTFE_Duernast",2015,14,16,"2015-08-25",7907,NA,NA
"LTFE_Duernast",2015,14,30,"2015-08-25",8356,NA,NA
"LTFE_Duernast",2015,14,44,"2015-08-25",8448,NA,NA
"LTFE_Duernast",2015,14,58,"2015-08-25",8106,NA,NA
"LTFE_Duernast",2015,15,1,"2015-08-25",3602,NA,NA
"LTFE_Duernast",2015,15,2,"2015-08-25",3145,NA,NA
"LTFE_Duernast",2015,15,23,"2015-08-25",3409,NA,NA
"LTFE_Duernast",2015,15,24,"2015-08-25",3840,NA,NA
"LTFE_Duernast",2015,15,37,"2015-08-25",3898,NA,NA
"LTFE_Duernast",2015,15,38,"2015-08-25",3712,NA,NA
"LTFE_Duernast",2015,15,51,"2015-08-25",2946,NA,NA
"LTFE_Duernast",2015,15,52,"2015-08-25",3187,NA,NA
"LTFE_Duernast",2016,1,3,"2016-10-12",7434,NA,NA
"LTFE_Duernast",2016,1,17,"2016-10-12",10236,NA,NA
"LTFE_Duernast",2016,1,39,"2016-10-12",8504,NA,NA
"LTFE_Duernast",2016,1,53,"2016-10-12",9234,NA,NA
"LTFE_Duernast",2016,2,5,"2016-10-12",9329,NA,NA
"LTFE_Duernast",2016,2,19,"2016-10-12",10193,NA,NA
"LTFE_Duernast",2016,2,33,"2016-10-12",10729,NA,NA
"LTFE_Duernast",2016,2,55,"2016-10-12",8606,NA,NA
"LTFE_Duernast",2016,3,7,"2016-10-12",7936,NA,NA
"LTFE_Duernast",2016,3,21,"2016-10-12",9479,NA,NA
"LTFE_Duernast",2016,3,35,"2016-10-12",9362,NA,NA
"LTFE_Duernast",2016,3,49,"2016-10-12",9500,NA,NA
"LTFE_Duernast",2016,4,9,"2016-10-12",11783,NA,NA
"LTFE_Duernast",2016,4,31,"2016-10-12",8497,NA,NA
"LTFE_Duernast",2016,4,45,"2016-10-12",8768,NA,NA
"LTFE_Duernast",2016,4,59,"2016-10-12",8766,NA,NA
"LTFE_Duernast",2016,5,11,"2016-10-12",6489,NA,NA
"LTFE_Duernast",2016,5,25,"2016-10-12",9816,NA,NA
"LTFE_Duernast",2016,5,47,"2016-10-12",7969,NA,NA
"LTFE_Duernast",2016,5,61,"2016-10-12",9274,NA,NA
"LTFE_Duernast",2016,6,13,"2016-10-12",7059,NA,NA
"LTFE_Duernast",2016,6,27,"2016-10-12",7830,NA,NA
"LTFE_Duernast",2016,6,41,"2016-10-12",8938,NA,NA
"LTFE_Duernast",2016,6,63,"2016-10-12",6024,NA,NA
"LTFE_Duernast",2016,7,15,"2016-10-12",9102,NA,NA
"LTFE_Duernast",2016,7,29,"2016-10-12",9258,NA,NA
"LTFE_Duernast",2016,7,43,"2016-10-12",9207,NA,NA
"LTFE_Duernast",2016,7,57,"2016-10-12",10776,NA,NA
"LTFE_Duernast",2016,8,4,"2016-10-12",9465,NA,NA
"LTFE_Duernast",2016,8,18,"2016-10-12",9791,NA,NA
"LTFE_Duernast",2016,8,40,"2016-10-12",10232,NA,NA
"LTFE_Duernast",2016,8,54,"2016-10-12",9398,NA,NA
"LTFE_Duernast",2016,9,6,"2016-10-12",10107,NA,NA
"LTFE_Duernast",2016,9,20,"2016-10-12",10351,NA,NA
"LTFE_Duernast",2016,9,34,"2016-10-12",9118,NA,NA
"LTFE_Duernast",2016,9,56,"2016-10-12",9509,NA,NA
"LTFE_Duernast",2016,10,8,"2016-10-12",9993,NA,NA
"LTFE_Duernast",2016,10,22,"2016-10-12",10124,NA,NA
"LTFE_Duernast",2016,10,36,"2016-10-12",10322,NA,NA
"LTFE_Duernast",2016,10,50,"2016-10-12",9677,NA,NA
"LTFE_Duernast",2016,11,10,"2016-10-12",8489,NA,NA
"LTFE_Duernast",2016,11,32,"2016-10-12",9686,NA,NA
"LTFE_Duernast",2016,11,46,"2016-10-12",9754,NA,NA
"LTFE_Duernast",2016,11,60,"2016-10-12",10124,NA,NA
"LTFE_Duernast",2016,12,12,"2016-10-12",5544,NA,NA
"LTFE_Duernast",2016,12,26,"2016-10-12",6892,NA,NA
"LTFE_Duernast",2016,12,48,"2016-10-12",8147,NA,NA
"LTFE_Duernast",2016,12,62,"2016-10-12",8886,NA,NA
"LTFE_Duernast",2016,13,14,"2016-10-12",9171,NA,NA
"LTFE_Duernast",2016,13,28,"2016-10-12",9140,NA,NA
"LTFE_Duernast",2016,13,42,"2016-10-12",8809,NA,NA
"LTFE_Duernast",2016,13,64,"2016-10-12",7351,NA,NA
"LTFE_Duernast",2016,14,16,"2016-10-12",9161,NA,NA
"LTFE_Duernast",2016,14,30,"2016-10-12",10053,NA,NA
"LTFE_Duernast",2016,14,44,"2016-10-12",9556,NA,NA
"LTFE_Duernast",2016,14,58,"2016-10-12",10094,NA,NA
"LTFE_Duernast",2016,15,1,"2016-10-12",1655,NA,NA
"LTFE_Duernast",2016,15,2,"2016-10-12",2015,NA,NA
"LTFE_Duernast",2016,15,23,"2016-10-12",2650,NA,NA
"LTFE_Duernast",2016,15,24,"2016-10-12",3435,NA,NA
"LTFE_Duernast",2016,15,37,"2016-10-12",4036,NA,NA
"LTFE_Duernast",2016,15,38,"2016-10-12",3211,NA,NA
"LTFE_Duernast",2016,15,51,"2016-10-12",3608,NA,NA
"LTFE_Duernast",2016,15,52,"2016-10-12",3718,NA,NA
"LTFE_Duernast",2017,1,3,"2017-08-07",5423,NA,NA
"LTFE_Duernast",2017,1,17,"2017-08-07",7585,NA,NA
"LTFE_Duernast",2017,1,39,"2017-08-07",6202,NA,NA
"LTFE_Duernast",2017,1,53,"2017-08-07",6133,NA,NA
"LTFE_Duernast",2017,2,5,"2017-08-07",7219,NA,NA
"LTFE_Duernast",2017,2,19,"2017-08-07",8052,NA,NA
"LTFE_Duernast",2017,2,33,"2017-08-07",8186,NA,NA
"LTFE_Duernast",2017,2,55,"2017-08-07",6102,NA,NA
"LTFE_Duernast",2017,3,7,"2017-08-07",5870,NA,NA
"LTFE_Duernast",2017,3,21,"2017-08-07",7702,NA,NA
"LTFE_Duernast",2017,3,35,"2017-08-07",7308,NA,NA
"LTFE_Duernast",2017,3,49,"2017-08-07",7634,NA,NA
"LTFE_Duernast",2017,4,9,"2017-08-07",8443,NA,NA
"LTFE_Duernast",2017,4,31,"2017-08-07",8170,NA,NA
"LTFE_Duernast",2017,4,45,"2017-08-07",8205,NA,NA
"LTFE_Duernast",2017,4,59,"2017-08-07",7876,NA,NA
"LTFE_Duernast",2017,5,11,"2017-08-07",9238,NA,NA
"LTFE_Duernast",2017,5,25,"2017-08-07",9005,NA,NA
"LTFE_Duernast",2017,5,47,"2017-08-07",7816,NA,NA
"LTFE_Duernast",2017,5,61,"2017-08-07",7937,NA,NA
"LTFE_Duernast",2017,6,13,"2017-08-07",7088,NA,NA
"LTFE_Duernast",2017,6,27,"2017-08-07",6934,NA,NA
"LTFE_Duernast",2017,6,41,"2017-08-07",7097,NA,NA
"LTFE_Duernast",2017,6,63,"2017-08-07",5036,NA,NA
"LTFE_Duernast",2017,7,15,"2017-08-07",7462,NA,NA
"LTFE_Duernast",2017,7,29,"2017-08-07",8229,NA,NA
"LTFE_Duernast",2017,7,43,"2017-08-07",7911,NA,NA
"LTFE_Duernast",2017,7,57,"2017-08-07",8580,NA,NA
"LTFE_Duernast",2017,8,4,"2017-08-07",8381,NA,NA
"LTFE_Duernast",2017,8,18,"2017-08-07",9375,NA,NA
"LTFE_Duernast",2017,8,40,"2017-08-07",8922,NA,NA
"LTFE_Duernast",2017,8,54,"2017-08-07",8610,NA,NA
"LTFE_Duernast",2017,9,6,"2017-08-07",9002,NA,NA
"LTFE_Duernast",2017,9,20,"2017-08-07",10058,NA,NA
"LTFE_Duernast",2017,9,34,"2017-08-07",10279,NA,NA
"LTFE_Duernast",2017,9,56,"2017-08-07",8267,NA,NA
"LTFE_Duernast",2017,10,8,"2017-08-07",7721,NA,NA
"LTFE_Duernast",2017,10,22,"2017-08-07",9304,NA,NA
"LTFE_Duernast",2017,10,36,"2017-08-07",9349,NA,NA
"LTFE_Duernast",2017,10,50,"2017-08-07",9263,NA,NA
"LTFE_Duernast",2017,11,10,"2017-08-07",9954,NA,NA
"LTFE_Duernast",2017,11,32,"2017-08-07",9813,NA,NA
"LTFE_Duernast",2017,11,46,"2017-08-07",9848,NA,NA
"LTFE_Duernast",2017,11,60,"2017-08-07",9893,NA,NA
"LTFE_Duernast",2017,12,12,"2017-08-07",10378,NA,NA
"LTFE_Duernast",2017,12,26,"2017-08-07",10171,NA,NA
"LTFE_Duernast",2017,12,48,"2017-08-07",9098,NA,NA
"LTFE_Duernast",2017,12,62,"2017-08-07",9331,NA,NA
"LTFE_Duernast",2017,13,14,"2017-08-07",8441,NA,NA
"LTFE_Duernast",2017,13,28,"2017-08-07",8961,NA,NA
"LTFE_Duernast",2017,13,42,"2017-08-07",8763,NA,NA
"LTFE_Duernast",2017,13,64,"2017-08-07",6934,NA,NA
"LTFE_Duernast",2017,14,16,"2017-08-07",9365,NA,NA
"LTFE_Duernast",2017,14,30,"2017-08-07",9693,NA,NA
"LTFE_Duernast",2017,14,44,"2017-08-07",9510,NA,NA
"LTFE_Duernast",2017,14,58,"2017-08-07",9302,NA,NA
"LTFE_Duernast",2017,15,1,"2017-08-07",2617,NA,NA
"LTFE_Duernast",2017,15,2,"2017-08-07",2236,NA,NA
"LTFE_Duernast",2017,15,23,"2017-08-07",2576,NA,NA
"LTFE_Duernast",2017,15,24,"2017-08-07",3581,NA,NA
"LTFE_Duernast",2017,15,37,"2017-08-07",2723,NA,NA
"LTFE_Duernast",2017,15,38,"2017-08-07",2728,NA,NA
"LTFE_Duernast",2017,15,51,"2017-08-07",1565,NA,NA
"LTFE_Duernast",2017,15,52,"2017-08-07",2395,NA,NA
"LTFE_Duernast",2018,1,3,"2018-09-26",10438,NA,NA
"LTFE_Duernast",2018,1,17,"2018-09-26",11177,NA,NA
"LTFE_Duernast",2018,1,39,"2018-09-26",10151,NA,NA
"LTFE_Duernast",2018,1,53,"2018-09-26",10347,NA,NA
"LTFE_Duernast",2018,2,5,"2018-09-26",10667,NA,NA
"LTFE_Duernast",2018,2,19,"2018-09-26",11285,NA,NA
"LTFE_Duernast",2018,2,33,"2018-09-26",11646,NA,NA
"LTFE_Duernast",2018,2,55,"2018-09-26",8968,NA,NA
"LTFE_Duernast",2018,3,7,"2018-09-26",9456,NA,NA
"LTFE_Duernast",2018,3,21,"2018-09-26",9604,NA,NA
"LTFE_Duernast",2018,3,35,"2018-09-26",11019,NA,NA
"LTFE_Duernast",2018,3,49,"2018-09-26",10531,NA,NA
"LTFE_Duernast",2018,4,9,"2018-09-26",10720,NA,NA
"LTFE_Duernast",2018,4,31,"2018-09-26",10617,NA,NA
"LTFE_Duernast",2018,4,45,"2018-09-26",10806,NA,NA
"LTFE_Duernast",2018,4,59,"2018-09-26",11157,NA,NA
"LTFE_Duernast",2018,5,11,"2018-09-26",10846,NA,NA
"LTFE_Duernast",2018,5,25,"2018-09-26",10157,NA,NA
"LTFE_Duernast",2018,5,47,"2018-09-26",10655,NA,NA
"LTFE_Duernast",2018,5,61,"2018-09-26",10788,NA,NA
"LTFE_Duernast",2018,6,13,"2018-09-26",11251,NA,NA
"LTFE_Duernast",2018,6,27,"2018-09-26",10359,NA,NA
"LTFE_Duernast",2018,6,41,"2018-09-26",10465,NA,NA
"LTFE_Duernast",2018,6,63,"2018-09-26",8414,NA,NA
"LTFE_Duernast",2018,7,15,"2018-09-26",10199,NA,NA
"LTFE_Duernast",2018,7,29,"2018-09-26",11316,NA,NA
"LTFE_Duernast",2018,7,43,"2018-09-26",10352,NA,NA
"LTFE_Duernast",2018,7,57,"2018-09-26",9970,NA,NA
"LTFE_Duernast",2018,8,4,"2018-09-26",11956,NA,NA
"LTFE_Duernast",2018,8,18,"2018-09-26",11558,NA,NA
"LTFE_Duernast",2018,8,40,"2018-09-26",10775,NA,NA
"LTFE_Duernast",2018,8,54,"2018-09-26",12252,NA,NA
"LTFE_Duernast",2018,9,6,"2018-09-26",11270,NA,NA
"LTFE_Duernast",2018,9,20,"2018-09-26",11752,NA,NA
"LTFE_Duernast",2018,9,34,"2018-09-26",13382,NA,NA
"LTFE_Duernast",2018,9,56,"2018-09-26",10387,NA,NA
"LTFE_Duernast",2018,10,8,"2018-09-26",10847,NA,NA
"LTFE_Duernast",2018,10,22,"2018-09-26",12307,NA,NA
"LTFE_Duernast",2018,10,36,"2018-09-26",12226,NA,NA
"LTFE_Duernast",2018,10,50,"2018-09-26",11568,NA,NA
"LTFE_Duernast",2018,11,10,"2018-09-26",12740,NA,NA
"LTFE_Duernast",2018,11,32,"2018-09-26",10647,NA,NA
"LTFE_Duernast",2018,11,46,"2018-09-26",11949,NA,NA
"LTFE_Duernast",2018,11,60,"2018-09-26",12137,NA,NA
"LTFE_Duernast",2018,12,12,"2018-09-26",12323,NA,NA
"LTFE_Duernast",2018,12,26,"2018-09-26",12095,NA,NA
"LTFE_Duernast",2018,12,48,"2018-09-26",10805,NA,NA
"LTFE_Duernast",2018,12,62,"2018-09-26",12447,NA,NA
"LTFE_Duernast",2018,13,14,"2018-09-26",11631,NA,NA
"LTFE_Duernast",2018,13,28,"2018-09-26",11533,NA,NA
"LTFE_Duernast",2018,13,42,"2018-09-26",11445,NA,NA
"LTFE_Duernast",2018,13,64,"2018-09-26",9263,NA,NA
"LTFE_Duernast",2018,14,16,"2018-09-26",11456,NA,NA
"LTFE_Duernast",2018,14,30,"2018-09-26",12786,NA,NA
"LTFE_Duernast",2018,14,44,"2018-09-26",10932,NA,NA
"LTFE_Duernast",2018,14,58,"2018-09-26",12004,NA,NA
"LTFE_Duernast",2018,15,1,"2018-09-26",6776,NA,NA
"LTFE_Duernast",2018,15,2,"2018-09-26",6455,NA,NA
"LTFE_Duernast",2018,15,23,"2018-09-26",7004,NA,NA
"LTFE_Duernast",2018,15,24,"2018-09-26",7051,NA,NA
"LTFE_Duernast",2018,15,37,"2018-09-26",6733,NA,NA
"LTFE_Duernast",2018,15,38,"2018-09-26",6745,NA,NA
